search_term,item_id,title,auction_price,buy_it_now_price,shipping_cost,time_remaining,url,card_condition,tcg_product_id,tcg_url,subTypeName,lowPrice,midPrice,marketPrice,buy_it_now_total,auction_total,roi
"Meowth ex ""121/088"" Perfect Order holo",v1|177992678672|0,Meowth ex 121/088 Me03:  Pokemon Perfect Order Holo,105.5,,6.0,1d 19h 41m,https://www.ebay.com/itm/177992678672?_skw=Meowth+ex+%22121%2F088%22+Perfect+Order+holo&hash=item297130bd10:g:PeUAAeSwXBJpxFtG,,684342,https://www.tcgplayer.com/product/684342/pokemon-me03-perfect-order-meowth-ex-121-088,Holofoil,150.99,179.9,155.0,,111.5,
"Erika's Tangela ""218/217"" Ascended Heroes holo",v1|336493258220|0,Pokémon Erika's Tangela Full Art Holo Rare Ascended Heroes 218/217,25.0,,6.0,1d 12h 48m,https://www.ebay.com/itm/336493258220?_skw=Erika%27s+Tangela+%22218%2F217%22+Ascended+Heroes+holo&hash=item4e588fa5ec:g:VogAAeSwnrxptXo4,,676030,https://www.tcgplayer.com/product/676030/pokemon-me-ascended-heroes-erikas-tangela-218-217,Holofoil,24.03,30.0,25.83,,31.0,
"Erika's Tangela ""218/217"" Ascended Heroes holo",v1|389783438650|0,Pokemon TCG - Erika's Tangela Illustration Rare 218/217 Me: Ascended Heroes Holo,24.0,,6.25,0d 13h 31m,https://www.ebay.com/itm/389783438650?_skw=Erika%27s+Tangela+%22218%2F217%22+Ascended+Heroes+holo&hash=item5ac0e7453a:g:CgEAAeSwPKtpwBBT,,676030,https://www.tcgplayer.com/product/676030/pokemon-me-ascended-heroes-erikas-tangela-218-217,Holofoil,24.03,30.0,25.83,,30.25,
"Psyduck ""226/217"" Ascended Heroes holo",v1|147216264167|0,Psyduck 226/217 Me: Ascended Heroes Holo,66.0,,4.88,1d 15h 27m,https://www.ebay.com/itm/147216264167?_skw=Psyduck+%22226%2F217%22+Ascended+Heroes+holo&hash=item2246c5ebe7:g:GygAAeSwt4Jpvtno,,676038,https://www.tcgplayer.com/product/676038/pokemon-me-ascended-heroes-psyduck-226-217,Holofoil,63.0,78.97,70.18,,70.88,
"Psyduck ""226/217"" Ascended Heroes holo",v1|336496260761|0,Psyduck 226/217 Illustration Rare Holo Ascended Heroes,72.0,,5.95,1d 13h 1m,https://www.ebay.com/itm/336496260761?_skw=Psyduck+%22226%2F217%22+Ascended+Heroes+holo&hash=item4e58bd7699:g:R6oAAeSwNfRpwVrY,,676038,https://www.tcgplayer.com/product/676038/pokemon-me-ascended-heroes-psyduck-226-217,Holofoil,63.0,78.97,70.18,,77.95,
"Psyduck ""226/217"" Ascended Heroes holo",v1|236704390819|0,Psyduck Illustration Rare 226/217 ME: Ascended Heroes Holo,57.1,,5.52,1d 20h 9m,https://www.ebay.com/itm/236704390819?_skw=Psyduck+%22226%2F217%22+Ascended+Heroes+holo&hash=item371cae5ea3:g:3kYAAeSwMoRpvxw-,,676038,https://www.tcgplayer.com/product/676038/pokemon-me-ascended-heroes-psyduck-226-217,Holofoil,63.0,78.97,70.18,,62.620000000000005,
"Team Rocket's Mimikyu ""238/217"" Ascended Heroes holo",v1|358359641582|0,Team Rocket's Mimikyu 238/217 Me: Ascended Heroes Holo,15.09,44.99,5.07,1d 21h 13m,https://www.ebay.com/itm/358359641582?_skw=Team+Rocket%27s+Mimikyu+%22238%2F217%22+Ascended+Heroes+holo&hash=item536fe62dee:g:hccAAeSw1sBpvys2,,676050,https://www.tcgplayer.com/product/676050/pokemon-me-ascended-heroes-team-rockets-mimikyu-238-217,Holofoil,26.5,32.0,30.34,50.06,20.16,1.889056603773585
"Mega Gengar ex ""269/217"" Ascended Heroes holo",v1|117099402187|0,Mega Gengar ex 269/217 Me: Ascended Heroes Holo Pokemon TCG,60.0,,6.0,1d 3h 13m,https://www.ebay.com/itm/117099402187?_skw=Mega+Gengar+ex+%22269%2F217%22+Ascended+Heroes+holo&hash=item1b43ab13cb:g:He8AAeSwu5tpvi4P,,676081,https://www.tcgplayer.com/product/676081/pokemon-me-ascended-heroes-mega-gengar-ex-269-217,Holofoil,63.49,72.74,68.18,,66.0,
"Mega Dragonite ex ""271/217"" Ascended Heroes holo",v1|117099402751|0,Mega Dragonite ex 271/217 Me: Ascended Heroes Holo Pokemon TCG,42.0,58.0,6.0,1d 3h 15m,https://www.ebay.com/itm/117099402751?_skw=Mega+Dragonite+ex+%22271%2F217%22+Ascended+Heroes+holo&hash=item1b43ab15ff:g:Y18AAeSwRLlpvi7N,,676083,https://www.tcgplayer.com/product/676083/pokemon-me-ascended-heroes-mega-dragonite-ex-271-217,Holofoil,39.99,54.95,46.28,64.0,48.0,1.600400100025006
"Mega Dragonite ex ""271/217"" Ascended Heroes holo",v1|389780378736|0,Mega Dragonite ex 271/217 Me: Ascended Heroes Holo,58.0,,5.07,1d 21h 35m,https://www.ebay.com/itm/389780378736?_skw=Mega+Dragonite+ex+%22271%2F217%22+Ascended+Heroes+holo&hash=item5ac0b89470:g:DTEAAeSwFJtptfXR,,676083,https://www.tcgplayer.com/product/676083/pokemon-me-ascended-heroes-mega-dragonite-ex-271-217,Holofoil,39.99,54.95,46.28,,63.07,
"Mega Feraligatr ex ""274/217"" Ascended Heroes holo",v1|206154091317|0,Mega Feraligatr ex 274/217 Me: Ascended Heroes Holo,135.5,,4.88,0d 15h 25m,https://www.ebay.com/itm/206154091317?_skw=Mega+Feraligatr+ex+%22274%2F217%22+Ascended+Heroes+holo&hash=item2fffbdcb35:g:tO0AAeSwOFhpvYgR,,676086,https://www.tcgplayer.com/product/676086/pokemon-me-ascended-heroes-mega-feraligatr-ex-274-217,Holofoil,150.0,170.0,152.36,,140.38,
"Pikachu ex ""276/217"" Ascended Heroes holo",v1|318036509325|0,Pikachu ex 276/217 Me: Ascended Heroes Holo Check Descrip For Tiny Ding,530.0,,7.01,0d 23h 45m,https://www.ebay.com/itm/318036509325?_skw=Pikachu+ex+%22276%2F217%22+Ascended+Heroes+holo&hash=item4a0c74028d:g:TL8AAeSwOjppvf0~,,676088,https://www.tcgplayer.com/product/676088/pokemon-me-ascended-heroes-pikachu-ex-276-217,Holofoil,655.0,750.0,564.25,,537.01,
"Iono's Bellibolt ex ""279/217"" Ascended Heroes holo",v1|318040471982|0,Iono's Bellibolt ex 279/217 Me: Ascended Heroes Holo,59.95,100.0,5.89,1d 21h 13m,https://www.ebay.com/itm/318040471982?_skw=Iono%27s+Bellibolt+ex+%22279%2F217%22+Ascended+Heroes+holo&hash=item4a0cb079ae:g:lDUAAeSweLNpvysj,,676091,https://www.tcgplayer.com/product/676091/pokemon-me-ascended-heroes-ionos-bellibolt-ex-279-217,Holofoil,79.99,91.28,82.21,105.89,65.84,1.3237904738092263
"Lillie's Clefairy ex ""280/217"" Ascended Heroes holo",v1|406790140302|0,Lillie's Clefairy ex 280/217 Me: Ascended Heroes Holo,160.5,,5.07,0d 0h 20m,https://www.ebay.com/itm/406790140302?_skw=Lillie%27s+Clefairy+ex+%22280%2F217%22+Ascended+Heroes+holo&hash=item5eb694f18e:g:NykAAeSwlTJppQaY,,676092,https://www.tcgplayer.com/product/676092/pokemon-me-ascended-heroes-lillies-clefairy-ex-280-217,Holofoil,167.0,183.58,179.27,,165.57,
