productId,group,name,ext_num,cleanName,searchTerm,url,subTypeName,lowPrice,midPrice,marketPrice
684455,Chaos Rising,Chaos Rising Build & Battle Display,,Chaos Rising Build and Battle Display,Build & Battle Display Chaos Rising ,https://www.tcgplayer.com/product/684455/pokemon-me04-chaos-rising-chaos-rising-build-and-battle-display,Normal,300,300,300
684331,Perfect Order,Wondrous Patch,117/088,Wondrous Patch,"Wondrous Patch ""117/088"" Perfect Order holo",https://www.tcgplayer.com/product/684331/pokemon-me03-perfect-order-wondrous-patch,Holofoil,49.99,49.99,
684337,Perfect Order,Mega Zygarde ex - 104/088,104/088,Mega Zygarde ex 104 088,"Mega Zygarde ex  ""104/088"" Perfect Order holo",https://www.tcgplayer.com/product/684337/pokemon-me03-perfect-order-mega-zygarde-ex-104-088,Holofoil,37,40,
684338,Perfect Order,Mega Zygarde ex - 120/088,120/088,Mega Zygarde ex 120 088,"Mega Zygarde ex  ""120/088"" Perfect Order holo",https://www.tcgplayer.com/product/684338/pokemon-me03-perfect-order-mega-zygarde-ex-120-088,Holofoil,200,200.25,
684339,Perfect Order,Mega Zygarde ex - 124/088,124/088,Mega Zygarde ex 124 088,"Mega Zygarde ex  ""124/088"" Perfect Order holo",https://www.tcgplayer.com/product/684339/pokemon-me03-perfect-order-mega-zygarde-ex-124-088,Holofoil,300,308,
684341,Perfect Order,Meowth ex - 107/088,107/088,Meowth ex 107 088,"Meowth ex  ""107/088"" Perfect Order holo",https://www.tcgplayer.com/product/684341/pokemon-me03-perfect-order-meowth-ex-107-088,Holofoil,199.99,199.99,
684342,Perfect Order,Meowth ex - 121/088,121/088,Meowth ex 121 088,"Meowth ex  ""121/088"" Perfect Order holo",https://www.tcgplayer.com/product/684342/pokemon-me03-perfect-order-meowth-ex-121-088,Holofoil,250,250,
684347,Perfect Order,Naveen - 112/088,112/088,Naveen 112 088,"Naveen  ""112/088"" Perfect Order holo",https://www.tcgplayer.com/product/684347/pokemon-me03-perfect-order-naveen-112-088,Holofoil,35,37.5,
684349,Perfect Order,Lumiose City - 111/088,111/088,Lumiose City 111 088,"Lumiose City  ""111/088"" Perfect Order holo",https://www.tcgplayer.com/product/684349/pokemon-me03-perfect-order-lumiose-city-111-088,Holofoil,100,100,
684357,Perfect Order,Aurorus - 092/088,092/088,Aurorus 092 088,"Aurorus  ""092/088"" Perfect Order holo",https://www.tcgplayer.com/product/684357/pokemon-me03-perfect-order-aurorus-092-088,Holofoil,21.99,23.49,
684361,Perfect Order,Mega Starmie ex - 102/088,102/088,Mega Starmie ex 102 088,"Mega Starmie ex  ""102/088"" Perfect Order holo",https://www.tcgplayer.com/product/684361/pokemon-me03-perfect-order-mega-starmie-ex-102-088,Holofoil,20,20,19.99
684365,Perfect Order,Spewpa - 089/088,089/088,Spewpa 089 088,"Spewpa  ""089/088"" Perfect Order holo",https://www.tcgplayer.com/product/684365/pokemon-me03-perfect-order-spewpa-089-088,Holofoil,18.98,18.99,
684368,Perfect Order,Rowlet - 090/088,090/088,Rowlet 090 088,"Rowlet  ""090/088"" Perfect Order holo",https://www.tcgplayer.com/product/684368/pokemon-me03-perfect-order-rowlet-090-088,Holofoil,22.95,22.96,
684371,Perfect Order,Decidueye ex - 100/088,100/088,Decidueye ex 100 088,"Decidueye ex  ""100/088"" Perfect Order holo",https://www.tcgplayer.com/product/684371/pokemon-me03-perfect-order-decidueye-ex-100-088,Holofoil,19.98,19.98,
684380,Perfect Order,Doublade - 098/088,098/088,Doublade 098 088,"Doublade  ""098/088"" Perfect Order holo",https://www.tcgplayer.com/product/684380/pokemon-me03-perfect-order-doublade-098-088,Holofoil,34,35,
684384,Perfect Order,Mega Clefable ex - 103/088,103/088,Mega Clefable ex 103 088,"Mega Clefable ex  ""103/088"" Perfect Order holo",https://www.tcgplayer.com/product/684384/pokemon-me03-perfect-order-mega-clefable-ex-103-088,Holofoil,44.99,44.99,
684387,Perfect Order,Yveltal ex - 105/088,105/088,Yveltal ex 105 088,"Yveltal ex  ""105/088"" Perfect Order holo",https://www.tcgplayer.com/product/684387/pokemon-me03-perfect-order-yveltal-ex-105-088,Holofoil,25,27.5,
